new_id,player_name,season_start,age,team,g,mp,per,fg%,ft%,ts%,ppg,orb/g,drb/g,spg,bpg,tov/g,g_zscore,mp_zscore,per_zscore,fg%_zscore,ft%_zscore,ts%_zscore,ppg_zscore,orb/g_zscore,drb/g_zscore,spg_zscore,bpg_zscore,tov/g_zscore,zscore_avg
1000,Aaron McKie,1995.0,22.0,POR,45.0,827.0,13.3,0.444,0.685,0.5,6.51,0.78,2.09,0.8,0.36,0.87,-0.659157425479881,-1.0843573249193084,-0.6167021284311869,-0.07246297800067822,-0.685854381357659,-0.5252647086869426,-1.1258303457591123,-0.5272957298140112,-0.8383137831879766,-0.3421214883912435,-0.3244547312961251,-1.1819688541395963,-0.6240269129064531
1001,Aaron McKie,1996.0,23.0,POR,81.0,2259.0,13.4,0.467,0.764,0.534,10.67,1.06,2.69,1.14,0.26,1.67,0.9645960724296436,0.4943757429204637,-0.59652832312228,0.3135321589842874,0.03238523306107699,0.08324786199313508,-0.4656626413644723,-0.2327558204654192,-0.5419264965618334,0.3850790370262295,-0.4970130202865951,-0.2545846317956361,-0.17742266425315073
1002,Aaron McKie,1997.0,24.0,TOT,83.0,1625.0,12.1,0.41100000000000003,0.836,0.524,5.22,0.48,2.18,0.93,0.27,1.08,1.054804600091284,-0.20458847845552475,-0.8587877921380703,-0.6262820875878028,0.6869833626578996,-0.09572642350100542,-1.3305458117853346,-0.8428742041160742,-0.7938556901940549,-0.06407422867279781,-0.479757191387548,-0.9385304957743068,-0.5343450562499096
1003,Aaron McKie,1997.0,24.0,POR,41.0,775.0,9.1,0.34,0.8370000000000001,0.479,4.15,0.32,1.95,0.83,0.37,1.17,-0.8395744808031614,-1.141685620678853,-1.464001951405279,-1.8178322930631292,0.6960750033467443,-0.9011107082246376,-1.500348562675302,-1.0111827237438409,-0.9074708167340766,-0.27795673614852545,-0.3071989023970781,-0.8341997707606114,-0.8325227461805736
1004,Aaron McKie,1997.0,24.0,DET,42.0,850.0,14.8,0.46399999999999997,0.836,0.5579999999999999,6.26,0.64,2.4,1.02,0.17,1.0,-0.7944702169723413,-1.059000578717971,-0.3140950487975828,0.2631849672036397,0.6869833626578996,0.5127861471790722,-1.1655038856866748,-0.6745656844883072,-0.6851803517644692,0.12842002805535682,-0.6523154803780179,-1.031268918008703,-0.29315548640277866
1005,Aaron McKie,1998.0,25.0,TOT,81.0,1813.0,8.6,0.365,0.764,0.41,4.1,0.72,2.14,1.25,0.16,0.94,0.9645960724296436,0.0026753600597525557,-1.5648709779498131,-1.3982723615577328,0.03238523306107699,-2.1360332781342057,-1.5082832706608147,-0.5904114246744238,-0.8136148426357979,0.6203497952495299,-0.669571309277065,-1.1008227346845,-0.9129145171263747
1006,Aaron McKie,1998.0,25.0,DET,24.0,472.0,10.1,0.413,0.87,0.478,4.54,1.0,1.83,0.96,0.04,1.0,-1.6063469659271037,-1.4757331902008157,-1.262263898316209,-0.592717293067371,0.9960991460786218,-0.9190081367740516,-1.4384578403883046,-0.2958715153258318,-0.9667482740593052,9.052356992023404e-05,-0.8766412560656289,-1.031268918008703,-0.6386787462356862
1007,Aaron McKie,1998.0,25.0,PHI,57.0,1341.0,8.1,0.34700000000000003,0.688,0.38299999999999995,3.91,0.6,2.26,1.37,0.21,0.91,-0.1179062595100394,-0.5176891706807311,-1.6657400044943482,-1.7003555122416192,-0.6585794592911257,-2.6192638489683846,-1.5384351610057625,-0.7166428143952489,-0.7543373853105694,0.8770088042204031,-0.5832921647818301,-1.1355996430223982,-1.0495237189290887
1008,Aaron McKie,1999.0,26.0,PHI,50.0,959.0,11.4,0.401,0.71,0.45399999999999996,4.8,0.54,2.26,1.26,0.06,1.14,-0.4336361063257803,-0.938831651068156,-1.0000044293004189,-0.7941060601899608,-0.4585633641365407,-1.348546421959988,-1.39719735886364,-0.7797585092556615,-0.7543373853105694,0.6417380459971026,-0.8421295982675351,-0.8689766790985098,-0.7601881760385721
1009,Aaron McKie,2000.0,27.0,PHI,82.0,1952.0,13.2,0.41100000000000003,0.8290000000000001,0.49700000000000005,7.96,0.57,2.43,1.32,0.22,1.38,1.009700336260464,0.15591830449392036,-0.6368759337400941,-0.6262820875878028,0.6233418778359862,-0.5789569943351848,-0.8957238141792497,-0.7482006618254553,-0.670360987433162,0.7700675504825393,-0.5660363358827831,-0.5907614123953218,-0.39197887990605285
